     t      	     M      	     rh     	     rc     	     rJ     	     rv     	     x      	     y      
+0.00000e+00	+8.00000e+03	+3.01470e+00	+1.20588e+00	+2.83616e+01	+3.91911e+00	+1.00000e+04	+0.00000e+00
+1.00000e+00	+7.99914e+03	+3.01423e+00	+1.20544e+00	+2.83639e+01	+3.91849e+00	+9.99794e+03	+2.49027e+02
+2.00000e+00	+7.99827e+03	+3.01376e+00	+1.20499e+00	+2.83730e+01	+3.91788e+00	+9.99177e+03	+4.97952e+02
+3.00000e+00	+7.99741e+03	+3.01329e+00	+1.20455e+00	+2.83889e+01	+3.91727e+00	+9.98148e+03	+7.46673e+02
+4.00000e+00	+7.99655e+03	+3.01281e+00	+1.20411e+00	+2.84114e+01	+3.91666e+00	+9.96710e+03	+9.95086e+02
+5.00000e+00	+7.99569e+03	+3.01235e+00	+1.20367e+00	+2.84407e+01	+3.91605e+00	+9.94863e+03	+1.24309e+03
+6.00000e+00	+7.99483e+03	+3.01188e+00	+1.20322e+00	+2.84767e+01	+3.91544e+00	+9.92610e+03	+1.49059e+03
+7.00000e+00	+7.99397e+03	+3.01141e+00	+1.20278e+00	+2.85192e+01	+3.91483e+00	+9.89952e+03	+1.73748e+03
+8.00000e+00	+7.99312e+03	+3.01094e+00	+1.20234e+00	+2.85684e+01	+3.91422e+00	+9.86893e+03	+1.98367e+03
+9.00000e+00	+7.99227e+03	+3.01047e+00	+1.20190e+00	+2.86241e+01	+3.91362e+00	+9.83436e+03	+2.22905e+03
+1.00000e+01	+7.99142e+03	+3.01001e+00	+1.20145e+00	+2.86863e+01	+3.91301e+00	+9.79583e+03	+2.47354e+03
+1.10000e+01	+7.99057e+03	+3.00955e+00	+1.20101e+00	+2.87550e+01	+3.91241e+00	+9.75339e+03	+2.71705e+03
+1.20000e+01	+7.98973e+03	+3.00908e+00	+1.20057e+00	+2.88300e+01	+3.91181e+00	+9.70709e+03	+2.95947e+03
+1.30000e+01	+7.98889e+03	+3.00862e+00	+1.20013e+00	+2.89112e+01	+3.91121e+00	+9.65696e+03	+3.20073e+03
+1.40000e+01	+7.98806e+03	+3.00816e+00	+1.19968e+00	+2.89987e+01	+3.91061e+00	+9.60305e+03	+3.44074e+03
+1.50000e+01	+7.98722e+03	+3.00771e+00	+1.19924e+00	+2.90924e+01	+3.91002e+00	+9.54541e+03	+3.67941e+03
+1.60000e+01	+7.98640e+03	+3.00725e+00	+1.19880e+00	+2.91921e+01	+3.90943e+00	+9.48411e+03	+3.91667e+03
+1.70000e+01	+7.98558e+03	+3.00680e+00	+1.19836e+00	+2.92977e+01	+3.90884e+00	+9.41919e+03	+4.15243e+03
+1.80000e+01	+7.98476e+03	+3.00635e+00	+1.19792e+00	+2.94092e+01	+3.90825e+00	+9.35071e+03	+4.38663e+03
+1.90000e+01	+7.98395e+03	+3.00590e+00	+1.19747e+00	+2.95265e+01	+3.90767e+00	+9.27874e+03	+4.61918e+03
+2.00000e+01	+7.98314e+03	+3.00545e+00	+1.19703e+00	+2.96494e+01	+3.90709e+00	+9.20333e+03	+4.85003e+03
+2.10000e+01	+7.98234e+03	+3.00501e+00	+1.19659e+00	+2.97779e+01	+3.90651e+00	+9.12456e+03	+5.07911e+03
+2.20000e+01	+7.98155e+03	+3.00456e+00	+1.19615e+00	+2.99119e+01	+3.90593e+00	+9.04249e+03	+5.30635e+03
+2.30000e+01	+7.98076e+03	+3.00413e+00	+1.19571e+00	+3.00512e+01	+3.90536e+00	+8.95719e+03	+5.53169e+03
+2.40000e+01	+7.97997e+03	+3.00369e+00	+1.19526e+00	+3.01958e+01	+3.90479e+00	+8.86873e+03	+5.75508e+03
+2.50000e+01	+7.97919e+03	+3.00325e+00	+1.19482e+00	+3.03455e+01	+3.90423e+00	+8.77717e+03	+5.97647e+03
+2.60000e+01	+7.97842e+03	+3.00282e+00	+1.19438e+00	+3.05002e+01	+3.90367e+00	+8.68260e+03	+6.19579e+03
+2.70000e+01	+7.97766e+03	+3.00239e+00	+1.19394e+00	+3.06598e+01	+3.90311e+00	+8.58508e+03	+6.41302e+03
+2.80000e+01	+7.97690e+03	+3.00197e+00	+1.19350e+00	+3.08241e+01	+3.90256e+00	+8.48469e+03	+6.62810e+03
+2.90000e+01	+7.97615e+03	+3.00154e+00	+1.19305e+00	+3.09932e+01	+3.90201e+00	+8.38150e+03	+6.84100e+03
+3.00000e+01	+7.97540e+03	+3.00112e+00	+1.19261e+00	+3.11667e+01	+3.90146e+00	+8.27558e+03	+7.05167e+03
+3.10000e+01	+7.97466e+03	+3.00071e+00	+1.19217e+00	+3.13448e+01	+3.90092e+00	+8.16701e+03	+7.26008e+03
+3.20000e+01	+7.97393e+03	+3.00029e+00	+1.19173e+00	+3.15271e+01	+3.90038e+00	+8.05586e+03	+7.46619e+03
+3.30000e+01	+7.97320e+03	+2.99988e+00	+1.19129e+00	+3.17136e+01	+3.89985e+00	+7.94221e+03	+7.66999e+03
+3.40000e+01	+7.97249e+03	+2.99947e+00	+1.19085e+00	+3.19041e+01	+3.89931e+00	+7.82612e+03	+7.87144e+03
+3.50000e+01	+7.97177e+03	+2.99907e+00	+1.19041e+00	+3.20987e+01	+3.89879e+00	+7.70768e+03	+8.07052e+03
+3.60000e+01	+7.97107e+03	+2.99867e+00	+1.18996e+00	+3.22970e+01	+3.89827e+00	+7.58696e+03	+8.26721e+03
+3.70000e+01	+7.97037e+03	+2.99827e+00	+1.18952e+00	+3.24991e+01	+3.89775e+00	+7.46403e+03	+8.46149e+03
+3.80000e+01	+7.96968e+03	+2.99787e+00	+1.18908e+00	+3.27048e+01	+3.89723e+00	+7.33895e+03	+8.65335e+03
+3.90000e+01	+7.96900e+03	+2.99748e+00	+1.18864e+00	+3.29140e+01	+3.89672e+00	+7.21181e+03	+8.84276e+03
+4.00000e+01	+7.96832e+03	+2.99709e+00	+1.18820e+00	+3.31265e+01	+3.89622e+00	+7.08266e+03	+9.02973e+03
+4.10000e+01	+7.96765e+03	+2.99670e+00	+1.18776e+00	+3.33424e+01	+3.89572e+00	+6.95159e+03	+9.21423e+03
+4.20000e+01	+7.96699e+03	+2.99632e+00	+1.18732e+00	+3.35613e+01	+3.89522e+00	+6.81865e+03	+9.39627e+03
+4.30000e+01	+7.96633e+03	+2.99594e+00	+1.18688e+00	+3.37833e+01	+3.89472e+00	+6.68392e+03	+9.57583e+03
+4.40000e+01	+7.96568e+03	+2.99556e+00	+1.18644e+00	+3.40083e+01	+3.89423e+00	+6.54746e+03	+9.75292e+03
+4.50000e+01	+7.96504e+03	+2.99519e+00	+1.18599e+00	+3.42361e+01	+3.89375e+00	+6.40934e+03	+9.92752e+03
+4.60000e+01	+7.96440e+03	+2.99482e+00	+1.18555e+00	+3.44666e+01	+3.89327e+00	+6.26962e+03	+1.00997e+04
+4.70000e+01	+7.96377e+03	+2.99445e+00	+1.18511e+00	+3.46997e+01	+3.89279e+00	+6.12836e+03	+1.02693e+04
+4.80000e+01	+7.96315e+03	+2.99409e+00	+1.18467e+00	+3.49354e+01	+3.89232e+00	+5.98562e+03	+1.04365e+04
+4.90000e+01	+7.96253e+03	+2.99373e+00	+1.18423e+00	+3.51735e+01	+3.89185e+00	+5.84147e+03	+1.06012e+04
+5.00000e+01	+7.96192e+03	+2.99337e+00	+1.18379e+00	+3.54139e+01	+3.89139e+00	+5.69596e+03	+1.07635e+04
+5.10000e+01	+7.96132e+03	+2.99302e+00	+1.18335e+00	+3.56566e+01	+3.89093e+00	+5.54916e+03	+1.09233e+04
+5.20000e+01	+7.96072e+03	+2.99267e+00	+1.18291e+00	+3.59014e+01	+3.89047e+00	+5.40111e+03	+1.10806e+04
+5.30000e+01	+7.96013e+03	+2.99232e+00	+1.18247e+00	+3.61483e+01	+3.89002e+00	+5.25187e+03	+1.12355e+04
+5.40000e+01	+7.95955e+03	+2.99198e+00	+1.18203e+00	+3.63971e+01	+3.88957e+00	+5.10150e+03	+1.13880e+04
+5.50000e+01	+7.95897e+03	+2.99163e+00	+1.18159e+00	+3.66478e+01	+3.88912e+00	+4.95005e+03	+1.15381e+04
+5.60000e+01	+7.95840e+03	+2.99130e+00	+1.18115e+00	+3.69003e+01	+3.88868e+00	+4.79756e+03	+1.16858e+04
+5.70000e+01	+7.95783e+03	+2.99096e+00	+1.18071e+00	+3.71545e+01	+3.88825e+00	+4.64410e+03	+1.18310e+04
+5.80000e+01	+7.95727e+03	+2.99063e+00	+1.18027e+00	+3.74104e+01	+3.88782e+00	+4.48970e+03	+1.19740e+04
+5.90000e+01	+7.95672e+03	+2.99030e+00	+1.17983e+00	+3.76678e+01	+3.88739e+00	+4.33442e+03	+1.21145e+04
+6.00000e+01	+7.95617e+03	+2.98997e+00	+1.17939e+00	+3.79267e+01	+3.88696e+00	+4.17831e+03	+1.22527e+04
+6.10000e+01	+7.95563e+03	+2.98965e+00	+1.17895e+00	+3.81869e+01	+3.88654e+00	+4.02140e+03	+1.23886e+04
+6.20000e+01	+7.95510e+03	+2.98933e+00	+1.17851e+00	+3.84485e+01	+3.88612e+00	+3.86374e+03	+1.25222e+04
+6.30000e+01	+7.95457e+03	+2.98901e+00	+1.17807e+00	+3.87114e+01	+3.88571e+00	+3.70537e+03	+1.26535e+04
+6.40000e+01	+7.95404e+03	+2.98869e+00	+1.17763e+00	+3.89755e+01	+3.88530e+00	+3.54633e+03	+1.27825e+04
+6.50000e+01	+7.95352e+03	+2.98838e+00	+1.17719e+00	+3.92407e+01	+3.88489e+00	+3.38667e+03	+1.29093e+04
+6.60000e+01	+7.95301e+03	+2.98807e+00	+1.17675e+00	+3.95069e+01	+3.88449e+00	+3.22643e+03	+1.30338e+04
+6.70000e+01	+7.95250e+03	+2.98776e+00	+1.17631e+00	+3.97742e+01	+3.88409e+00	+3.06563e+03	+1.31561e+04
+6.80000e+01	+7.95200e+03	+2.98746e+00	+1.17587e+00	+4.00423e+01	+3.88370e+00	+2.90433e+03	+1.32762e+04
+6.90000e+01	+7.95150e+03	+2.98716e+00	+1.17543e+00	+4.03114e+01	+3.88331e+00	+2.74254e+03	+1.33941e+04
+7.00000e+01	+7.95101e+03	+2.98686e+00	+1.17499e+00	+4.05812e+01	+3.88292e+00	+2.58031e+03	+1.35099e+04
+7.10000e+01	+7.95052e+03	+2.98656e+00	+1.17455e+00	+4.08519e+01	+3.88253e+00	+2.41768e+03	+1.36235e+04
+7.20000e+01	+7.95004e+03	+2.98627e+00	+1.17412e+00	+4.11232e+01	+3.88215e+00	+2.25467e+03	+1.37350e+04
+7.30000e+01	+7.94957e+03	+2.98598e+00	+1.17368e+00	+4.13952e+01	+3.88177e+00	+2.09131e+03	+1.38444e+04
+7.40000e+01	+7.94909e+03	+2.98569e+00	+1.17324e+00	+4.16678e+01	+3.88140e+00	+1.92764e+03	+1.39518e+04
