#  id W_lime e_W_lime g_lime e_g_lime rt_lime e_rt_lime M_lime e_M_lime W_pe e_W_pe eta_pe e_eta_pe log1minB_pe e_log1minB_pe rt_pe e_rt_pe M_pe e_M_pe log_fpe e_log_fpe chi2_king chi2red_king chi2_wil chi2red_wil chi2_lime chi2red_lime chi2_pe chi2red_pe kingtrunc kinghalf wiltrunc wilhalf limehalf e_limehalf pehalf e_pehalf pecore e_pecore  r_tie BGlev min_mass max_mass
    NGC104    8.308    0.088    1.335    0.051   72.912    4.296   103030.720     2216.970    8.142    0.109    0.179    0.039   -1.703    0.283   54.328    3.818   102455.705     2311.342   -2.121    0.520 4197.565   28.750 10790.411   73.907 3359.332   23.168 3477.229   24.147   51.286    5.636  257.040    3.963    5.216    0.154    5.174    0.173    0.547    0.0271  13.283    0.075    0.606    0.866
    NGC288    1.838    0.897    2.668    0.237  114.073   18.809     4426.306       65.542    3.274    0.168    0.251    0.012   -2.495    0.335   59.799    6.937     4386.958       60.068   -2.306    0.230 1191.161   18.907 1294.195   20.543  101.162    1.632  110.463    1.811   38.905    7.589   60.256    7.425    9.118    0.101    9.169    0.088    6.543    0.218     4.053    0.008    0.744    0.825
    NGC362    6.731    0.070    1.997    0.038   82.113    5.914    22529.924      349.102    6.711    0.029    0.099    0.041   -4.201    1.325   76.890    6.190    22414.894      349.643   -3.926    1.146  712.007    7.495  389.342    4.098  208.743    2.221  199.757    2.148   26.303    2.753   89.125    2.042    2.033    0.034    2.031    0.024    0.534    0.012     4.540    0.082    0.707    0.844
    NGC1261    3.713    0.410    2.796    0.130  207.175   60.395     3864.179      103.487    4.960    0.094    0.239    0.006   -2.504    0.192   49.159    4.026     3840.525       41.837   -2.506    0.134  238.625    3.409  223.222    3.189  135.495    1.964   96.548    1.420   26.303    4.271   51.286    4.196    4.314    0.069    4.463    0.043    2.177    0.045     2.415    0.008    0.815    0.844
    PAL1    2.307    1.749    1.939    0.787   19.714   10.336      139.494       10.009    2.036    1.048    0.203    0.148   -6.010    1.556   19.752    3.217      137.160        6.789   -5.326    1.659  142.108    7.105  142.592    7.130  165.598    8.716  172.865    9.604   12.943    3.289   18.557    3.345    3.230    0.234    3.268    0.164    3.116    1.046     2.000    0.112    0.769    0.835
    NGC1851    7.650    0.067    1.854    0.026  109.584    7.395     8760.895      137.496    7.468    0.052    0.140    0.009   -2.595    0.124   60.612    4.887     8598.118      139.897   -2.265    0.105  832.436    7.367  355.315    3.144  196.573    1.755  211.888    1.909   23.442    2.459  158.489    2.213    2.508    0.056    2.449    0.064    0.362    0.012     3.643    0.019    0.784    0.841
    NGC1904    6.793    0.211    1.896    0.096   97.266   13.839     3770.332      116.876    6.560    0.076    0.131    0.129   -4.059    1.248  107.536    6.486     3809.382      112.986   -3.656    1.117  173.098    2.705  672.320   10.505   68.116    1.081   69.232    1.117   30.903    3.319  245.471    3.784    3.202    0.110    3.188    0.113    0.911    0.057     2.334    0.013    0.741    0.780
    NGC2298    6.353    0.189    1.767    0.171   61.474   12.555      966.485       20.484    6.100    0.134    0.187    0.044   -2.252    0.604   45.315   14.627      960.695       20.984   -2.517    0.524  172.973    2.507  163.201    2.365   59.735    0.878  163.598    2.442   22.387    3.133   83.176    3.400    3.488    0.097    3.439    0.093    1.159    0.043     1.845    0.004    0.710    0.774
    NGC2419    6.120    0.313    2.069    0.171  731.977  246.617      303.345       10.430    6.228    0.163    0.167    0.125   -7.814    1.667  642.297  109.406      302.858        9.974   -5.023    1.603   97.346    1.738   80.695    1.441   66.137    1.202   67.105    1.243  204.174   26.549  467.735   24.734   24.506    1.187   24.575    1.111    8.222    0.405     2.000    0.036    0.771    0.772
    NGC2808    5.890    0.082    2.221    0.039  100.221    6.906    36068.613      574.850    6.281    0.039    0.146    0.009   -3.326    0.259   64.054    4.311    35350.306      623.769   -3.227    0.257 1186.985    8.792  496.993    3.681  364.022    2.717  348.459    2.620   26.303    3.001   69.183    2.631    2.488    0.027    2.569    0.020    0.832    0.017     4.753    0.019    0.730    0.844
    NGC3201    5.727    0.183    2.319    0.074  255.233   34.969    25938.152      695.120    6.421    0.054    0.168    0.136   -6.123    1.204  161.746    8.252    23829.210      539.260   -5.616    1.132 2644.050   31.106 1511.444   17.782  356.371    4.243  788.368    9.498   35.481    5.091   79.433    4.952    4.965    0.083    5.216    0.085    1.603    0.043     6.955    0.009    0.600    0.781
    NGC4147    7.611    0.078    0.607    0.176   22.087    3.532      390.268        8.817    7.880    0.094    0.288    0.054   -0.817    0.216   20.618    1.632      386.190        6.460   -1.758    0.391  257.273    1.934 2453.525   18.448   87.243    0.661   77.954    0.595   35.481    3.713  117.490    3.232    3.276    0.117    3.225    0.077    0.564    0.021     1.184    0.037    0.780    0.798
    NGC4590    5.162    0.086    2.474    0.046  299.271   45.774     5884.230       40.897    5.724    0.062    0.225    0.008   -2.596    0.169   92.003    7.600     5857.532       45.090   -2.462    0.116 1110.713    8.414  609.817    4.620   99.798    0.762  180.102    1.385   46.774    5.939  128.825    5.641    5.742    0.046    5.852    0.051    2.298    0.029     3.441    0.008    0.726    0.799
    NGC5024    7.046    0.108    1.538    0.072  145.013   10.630     2952.671       55.153    6.791    0.109    0.095    0.043   -2.504    0.315  118.993    7.560     2947.911       54.062   -3.448    0.650   74.138    1.951   59.387    1.563   21.902    0.592   19.745    0.548   83.176    9.044  239.883    7.815    8.893    0.223    8.810    0.219    2.246    0.100     2.965    0.007    0.771    0.794
    NGC5053    1.101    0.740    2.241    0.247  106.908   20.653      480.696       16.968    0.775    0.609    0.167    0.052   -3.357    0.734   70.768   15.690      481.231       17.311   -1.903    0.586   60.125    0.847   55.433    0.781   52.915    0.756   45.208    0.655   66.069   16.419   89.125   16.225   16.091    0.302   16.004    0.360   19.958    4.489     1.952    0.004    0.770    0.794
    NGC5139    3.989    0.257    2.330    0.097  135.978    8.371   262702.858     4578.194    4.588    0.085    0.257    0.013   -2.836    0.279   98.290    6.962   257176.281     3448.486   -2.682    0.173 3490.612   37.941  427.621    4.648  321.267    3.530  243.409    2.705   74.131   10.376  112.202    9.547    9.335    0.073    9.357    0.069    5.052    0.111    17.515    0.239    0.600    0.781
    NGC5272    7.455    0.083    1.526    0.036  121.274    4.544    14413.134      286.547    7.223    0.092    0.204    0.008   -1.746    0.070   79.918    2.973    14274.080      282.108   -2.055    0.064 1101.261   25.029  427.965    9.726   47.286    1.100   38.908    0.926   91.201    9.615  177.828    4.892    6.705    0.144    6.640    0.134    1.293    0.066     5.710    0.010    0.726    0.814 
