 #King profile data from Harris 1996 (2010 Edition) and masses with M/L from McLauhglin and van der Marel (else =2)
 # ID      ID2          Mgc(Msun)        rc(pc)           rh(pc).          rt(pc)      
 NGC104    47Tuc        1187676.38       0.471238554      4.14951849       55.3684959    
 NGC288    na           85291.7578       3.49501944       5.77325487       34.1547966    
 NGC362    na           409113.531       0.450294644      2.05134201       25.9118290    
 WHITING1  na           1663.52783       2.18893242       1.92626035       7.76662493    
 NGC1261   na           219334.656       1.65951586       3.22420239       23.9873199    
 PAL1      na           1758.04504       3.22885662E-02   1.48527420       11.9963436    
 AM1       E1           12571.1992       6.09730339       14.7052603       139.681213    
 ERIDANUS  na           19454.9512       6.55225229       12.0561438       82.4879913    
 PAL2      na           266090.625       1.34506607       3.95607710       45.5768204    
 NGC1851   na           367184.719       0.316777021      1.79506969       22.9484940    
 NGC1904   M79          225665.234       0.600392818      2.43909597       30.0909748    
 NGC2298   na           53931.3945       0.973892987      3.07875872       23.3621025    
 NGC2419   na           962584.312       7.68875074       21.3843384       180.242218    
 Ko2       na           238.248383       2.52345371       2.11970067       7.97986031    
 NGC2808   na           992936.625       0.698131263      2.23401999       25.3476677    
 E3        na           8836.78027       4.40608120       4.94800568       24.7772865    
 PAL3      na           32585.9492       11.0319262       17.4896393       107.808136    
 NGC3201   na           154608.266       1.85295677       4.41858959       36.1304245    
 PAL4      na           43755.2461       10.4344444       16.1259556       88.8115311    
 KO1       na           598.453003       4.63646412       3.65297103       14.6617861    
 NGC4147   na           47381.5820       0.505272388      2.69478607       34.1606483    
 NGC4372   na           213942.094       2.95251346       6.59676027       58.9124031    
 RUP106    na           59845.3359       6.16682577       6.47516680       30.9073658    
 NGC4590   M68          144927.391       1.73776484       4.52418137       44.6677132    
 NGC4833   na           298797.438       1.91986084       4.62686539       34.1407967    
 NGC5024   M53          495542.562       1.82241321       6.82103205       95.6425247    
 NGC5053   na           84291.2734       10.5278187       13.2103901       57.8548775    
 NGC5139   OMEGACEN     2052607.00       3.58490396       7.56309271       73.1991501    
 NGC5272   M3           577383.250       1.09781122       6.85390425       85.2192688    
 NGC5286   na           505099.625       0.952948987      2.48447442       24.4945984    
 AM4       na           861.611389       3.84030294       4.02763510       19.2471104    
 NGC5466   na           102582.828       6.65551758       10.7046804       72.9767914    
 NGC5634   na           192547.484       0.659734011      6.30412531       77.5122299    
 NGC5694   na           218813.266       0.610864699      4.07243204       47.4182281    
 IC4499    na           137015.406       4.59370232       9.35146809       74.5015335    
 NGC5824   na           559553.938       0.560250163      4.20187664       53.5035362    
 PAL5      na           20185.0664       15.4542999       18.4236851       51.1740685    
 NGC5897   na           125712.070       5.09054041       7.49036646       36.8778114    
 NGC5904   M5           564693.438       0.959930360      3.86153841       51.5521240    
 NGC5927   na           335949.719       0.940731645      2.46382141       37.4514999    
 NGC5946   na           123267.531       0.246673033      2.74423718       78.0062637    
 BH176     na           7261.56006       4.94800425       4.94800425       35.0292320    
 NGC5986   na           384797.875       1.42186058       2.96473026       24.1466999    
 LYNGA7    BH184        75340.7969       2.09439325       2.79252481       18.6663342    
 PAL14     AVDB         14355.8916       18.2474041       27.1485786       115.133430    
 NGC6093   M80          315605.094       0.436332017      1.77441680       20.8841896    
 NGC6121   M4           129143.203       0.742346108      2.77100062       33.1618919    
 NGC6101   na           96296.3203       4.34528494       4.70365858       27.4169235    
 NGC6144   na           88541.0000       2.43356895       4.21991205       86.3489838    
 NGC6139   na           355939.844       0.440695345      2.49727345       31.9256592    
 TERZAN3   na           14622.7764       2.81463194       2.98160195       14.1065903    
 NGC6171   M107         127039.375       1.04254246       3.22071218       35.3263054    
 1636283   ESO452SC1    6998.90576       1.20718527       1.20718527       12.0718613    
 NGC6205   M13          426961.531       1.28048885       3.49036527       43.3891602    
 NGC6229   na           275211.938       1.06464994       3.19395018       33.6672020    
 NGC6218   M12          137063.172       1.10304725       2.47138453       24.1322536    
 FSR1735   na           65619.0312       1.11177385       0.969238818      4.03660727    
 NGC6235   na           54136.2305       1.10392010       3.34521222       37.4058113    
 NGC6254   M10          159702.359       0.985528469      2.49581957       23.6414089    
 NGC6256   na           151229.266       5.99229261E-02   2.57668591       18.9493122    
 PAL15     na           27607.7070       15.7428589       14.4309530       62.6734924    
 NGC6266   M62          790742.125       0.435168445      1.81979549       22.3181896    
 NGC6273   M19          723397.750       1.10072029       3.37895560       37.2974815    
 NGC6284   na           255478.094       0.311541021      2.93738723       98.5192795    
 NGC6287   na           143522.922       0.792960584      2.02341676       19.0218239    
 NGC6293   na           209523.719       0.138171807      2.45945787       43.6940689    
 NGC6304   na           184257.766       0.360410184      2.43705988       22.7404575    
 NGC6316   na           491054.406       0.514289975      1.96640289       22.9725227    
 NGC6341   M92          320134.531       0.627736270      2.46265769       30.0454712    
 NGC6325   na           105328.922       6.80677816E-02   1.42942357       21.5249786    
 NGC6333   M9           243862.203       1.03410673       2.20609426       18.3893414    
 NGC6342   na           79277.8359       0.123627394      1.80496013       39.0946922    
 NGC6356   na           591352.188       1.05417800       3.55785108       41.0123863    
 NGC6355   na           275424.156       0.133808479      2.35502911       42.3142548    
 NGC6352   na           80841.7188       1.35204732       3.33939457       17.0213184    
 IC1257    na           46466.9570       1.81805003       10.1810808       64.5069809    
 TERZAN2   HP3          38817.7266       6.54497892E-02   3.31612349       20.6970940    
 NGC6366   na           38932.7891       2.20929456       2.97287607       12.1410265    
 TERZAN4   HP4          10691.2852       1.88495398       3.87462854       14.9727449    
 HP1       BH229        66226.2188       7.15584382E-02   7.39437437       22.6288242    
 NGC6362   na           112319.164       2.49814606       4.53203535       30.7340775    
 LILLER1   na           146227.766       0.143116876      0.00000000       28.5556870    
 NGC6380   TON1         233263.031       1.07803094       2.34630227       38.2501335    
 TERZAN1   HP2          10023.7461       7.79579803E-02   7.44498920       24.6525879    
 TON2      PISMIS26     50702.6055       1.28805208       3.10086632       25.7000980    
 NGC6388   na           1279029.25       0.345574886      1.49749124       19.4331303    
 NGC6402   M14          721388.062       2.13715410       3.51683617       20.8851013    
 NGC6401   na           266316.219       0.770853221      5.88931894       37.7549248    
 NGC6397   na           73439.0000       3.34521197E-02   1.94022334       10.5785637    
 PAL6      na           89749.0703       1.11351943       2.02458048       14.0184059    
 NGC6426   na           77344.7422       1.55799603       5.51290941       78.0851517    
 DJORG1    na           106912.797       1.99258280       6.33641338       63.0114441    
 TERZAN5   TERZAN11     160335.719       0.321140349      1.44513166       13.3873749    
 NGC6440   na           813508.000       0.346156687      1.18682289       14.4302273    
 NGC6441   na           1630152.12       0.438659072      1.92335141       24.1061440    
 TERZAN6   HP5          187512.453       9.89019275E-02  0.870336890       31.2757568    
 NGC6453   na           125559.680       0.168715045      1.48469234       53.3527565    
 UKS1      na           135470.859       0.340338975      0.00000000       42.8465614    
 NGC6496   na           163462.641       3.12268233       3.35277486       15.6504974    
 TERZAN9   na           5260.53711       6.19591363E-02   1.61093748       19.5932503    
 DJORG2    ESO456SC3    108900.547       0.604756236      1.92422414       19.1241264    
 NGC6517   na           330771.000       0.185004756      1.54170644       12.2231493    
 TERZAN10  na           59845.3359       1.51843524       2.61508322       8.53879547    
 NGC6522   na           188357.062       0.111991875      2.23983765       35.4151917    
 NGC6535   na           12804.9199       0.712093830      1.68133259       15.2243233    
 NGC6528   na           133346.672       0.298741937      0.873245776       9.44705486    
 NGC6539   na           441262.312       0.862192094      3.85717535       47.3815575    
 NGC6540   Djorg3       59576.0352       4.62511890E-02   0.00000000       14.6259480    
 NGC6544   na           96760.0234       4.36332002E-02   1.05592346       1.86130309    
 NGC6541   na           412676.375       0.392698795      2.31255937       28.4486465    
